	cell_type	image_path	mask_path	nuc_Elongation	nuc_MajorAxisLength	nuc_MaximumDiameter	nuc_MeshSurface	nuc_MinorAxisLength	nuc_Perimeter	nuc_PerimeterSurfaceRatio	nuc_PixelSurface	nuc_Sphericity	nuc_10Percentile	nuc_90Percentile	nuc_Energy	nuc_Entropy	nuc_InterquartileRange	nuc_Kurtosis	nuc_Maximum	nuc_MeanAbsoluteDeviation	nuc_Mean	nuc_Median	nuc_Minimum	nuc_Range	nuc_RobustMeanAbsoluteDeviation	nuc_RootMeanSquared	nuc_Skewness	nuc_TotalEnergy	nuc_Uniformity	nuc_Variance	cyt_Elongation	cyt_MajorAxisLength	cyt_MaximumDiameter	cyt_MeshSurface	cyt_MinorAxisLength	cyt_Perimeter	cyt_PerimeterSurfaceRatio	cyt_PixelSurface	cyt_Sphericity	cyt_10Percentile	cyt_90Percentile	cyt_Energy	cyt_Entropy	cyt_InterquartileRange	cyt_Kurtosis	cyt_Maximum	cyt_MeanAbsoluteDeviation	cyt_Mean	cyt_Median	cyt_Minimum	cyt_Range	cyt_RobustMeanAbsoluteDeviation	cyt_RootMeanSquared	cyt_Skewness	cyt_TotalEnergy	cyt_Uniformity	cyt_Variance	mix_Elongation	mix_MajorAxisLength	mix_MaximumDiameter	mix_MeshSurface	mix_MinorAxisLength	mix_Perimeter	mix_PerimeterSurfaceRatio	mix_PixelSurface	mix_Sphericity
426	HCL	/home/mikweeh/PythonProjects/08-TFM/data/img/HCL/img_100.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/HCL/img_100.png	0.9199835250621946	83.73882634300064	85.38149682454625	5046.5	77.03834064360468	271.0782104868028	0.05371608252983311	5047.0	0.9289780676532755	66.0	112.0	40274468.0	1.6725887453774002	23.0	3.9279399707246836	178.0	14.378416571566289	87.39171785218942	85.0	40.0	138.0	9.897880269562144	89.33018920049146	0.7257344879153794	40274468.0	0.3750271913990655	342.5703534389185	0.6253310432692541	157.76528899604403	133.4541119636259	2883.0	98.65553275957159	698.9087296526039	0.24242411711848905	2887.0	0.272337087236921	174.0	204.0	103250772.0	1.125622764248154	13.0	3.915998855726946	219.0	8.851213752894651	188.75441634915137	189.0	120.0	99.0	5.934481626182806	189.11381764311633	-0.4320044787329009	103250772.0	0.5682263059720071	135.8063322450808	1.471194393696635	0.5307810537785684	0.6397816865157195	0.6364209597074216	0.780882110599422	0.38785924253878407	0.22157895496667288	0.6361230148726997	3.411133155158946
427	HCL	/home/mikweeh/PythonProjects/08-TFM/data/img/HCL/img_101.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/HCL/img_101.png	0.9306691668368772	78.75762493798632	81.88406438373708	4515.5	73.29729318308699	258.0071426749372	0.05713811154355823	4516.0	0.9232644769085208	57.0	97.0	26075421.0	1.3954747444426354	19.0	3.8639186598603414	152.0	12.210433074881475	74.36470327723649	71.0	37.0	115.0	8.409444197472324	75.98689487728282	0.9385916542436742	26075421.0	0.4423792660050947	243.89909957980325	0.8659047631901697	140.15848548538185	118.15244390193544	3562.5	121.3639001833124	672.9676041556494	0.18890318713141036	3564.0	0.31440410677750696	161.0	191.0	112776902.0	1.1189650843893533	16.0	3.4851934146175596	207.0	9.46797945787845	177.489898989899	179.0	117.0	90.0	6.77965976021651	177.8857800093009	-0.6766781571943344	112776902.0	0.5155294055406289	140.6864860728497	1.074793910831605	0.5619183502535815	0.6930374157279344	0.5589873731121565	0.6039464212370905	0.38338716616032414	0.30247298847218573	0.558910891089109	2.936553489620552
428	HCL	/home/mikweeh/PythonProjects/08-TFM/data/img/HCL/img_1015.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/HCL/img_1015.png	0.9120996702596692	82.57692943626806	84.64632301523794	4874.5	75.31839010987608	267.17871555019104	0.054811512062814864	4875.0	0.9263350816126067	69.0	106.0	37825956.0	1.3859815818803662	18.0	3.549464904722264	163.0	11.278072678500987	86.90338461538461	86.0	51.0	112.0	7.989378267156045	88.08615363119485	0.4995050264338012	37825956.0	0.4636090571992109	206.97220392899413	0.7708581415899329	151.8284222616192	122.723265927859	3491.0	117.03817542512337	693.3940110268426	0.19862332025976584	3495.0	0.30206455714685443	176.0	203.0	125840136.0	1.0724373353517374	14.0	3.7826811658412502	221.0	8.715071479591733	189.4271816881259	190.0	132.0	89.0	6.113809578119109	189.7518415546752	-0.3554198330659212	125840136.0	0.5867589300881496	123.10421108429983	1.1832263565101857	0.5438832084678965	0.6897332985335967	0.5826908134600443	0.6435369471225392	0.38532019501369486	0.2759570829403649	0.5824372759856631	3.06667915746981
429	HCL	/home/mikweeh/PythonProjects/08-TFM/data/img/HCL/img_1023.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/HCL/img_1023.png	0.9384721225587107	74.52337269726063	77.62087348130012	4077.5	69.93810775543204	245.72287142747507	0.06026311990863889	4078.0	0.9212051032503521	59.0	104.0	27643515.0	1.6317060001947188	25.0	3.6175462379579884	167.0	14.246992739182797	80.35875429131927	79.0	41.0	126.0	10.23900398450348	82.33282585244743	0.6288960251348835	27643515.0	0.37148423303213624	321.16482159681215	0.8766466344858741	130.90155469068768	105.62196741208714	2755.5	114.75440736855992	624.4406922210679	0.22661611040503282	2757.0	0.29799840748874024	135.0	180.0	69592257.0	1.664587021651113	25.0	2.800916947925114	197.0	14.246531498481328	157.90460645629307	159.0	96.0	101.0	10.45001594387755	158.87738306922392	-0.37823135830638593	69592257.0	0.35920502551687283	308.1581108081266	1.0705249819490783	0.5693085378042665	0.7348932744119417	0.5967364261671301	0.6094590121563687	0.3935087422849805	0.26592601823820083	0.5966349670811997	3.091308812733033
430	HCL	/home/mikweeh/PythonProjects/08-TFM/data/img/HCL/img_103.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/HCL/img_103.png	0.9170362667217377	78.00972353043369	79.62411694957753	4374.5	71.53774563434379	256.3502884254448	0.058601048902833415	4375.0	0.914608708097384	60.0	107.0	30924140.0	1.6609301472575382	25.0	2.789367764545015	146.0	14.675473554285716	82.0832	80.0	32.0	114.0	10.443087562781287	84.0736275959522	0.4325025060078052	30924140.0	0.3577462595918368	330.7231349028571	0.8991012892135996	149.04291173982435	136.56500283747664	5288.5	134.0046740934248	738.6244584051418	0.13966615456275727	5291.0	0.3490177398521999	169.0	205.0	182828152.0	1.3958489083260668	16.0	7.934584467795795	228.0	11.101037800716501	185.23530523530525	185.0	63.0	165.0	7.044057409409607	185.88855608281884	-0.9646931215362234	182828152.0	0.4878709280523682	242.43697693858343	1.0199476718844713	0.5234044519112105	0.583049209498693	0.4527061989030322	0.5338451521808069	0.3470644459553416	0.41957945420844067	0.4526174218911649	2.6205221215537566
431	HCL	/home/mikweeh/PythonProjects/08-TFM/data/img/HCL/img_1034.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/HCL/img_1034.png	0.9628537679876088	80.69926591842193	82.56512580987206	4918.5	77.70159226338657	266.59292911256415	0.05420207972198112	4919.0	0.932551110318331	67.0	101.0	34350893.0	1.3821022931867546	17.0	3.338155775788604	137.0	10.845457583827718	82.43687741410857	81.0	43.0	94.0	7.575931390087045	83.56619048827162	0.6495447532350958	34350893.0	0.43481183131768186	187.46943493333615	0.817257844123149	160.0140428163613	139.51702405083043	5081.5	130.7727316615287	753.9797974644695	0.14837740774662392	5083.0	0.33515151559074896	176.0	205.0	187516590.0	1.2617614529479675	14.0	4.9759199265270135	216.0	8.912924384975295	191.71119417666733	193.0	123.0	93.0	6.0417218367136485	192.07011372277836	-1.1065387287205872	187516590.0	0.4891452295204736	137.74661283717245	1.1781517606853593	0.5043261484933277	0.5917924810365148	0.49185	0.59417273980708	0.3535809978053518	0.36529873749067704	0.4918016396720656	2.78247618446417
432	HCL	/home/mikweeh/PythonProjects/08-TFM/data/img/HCL/img_104.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/HCL/img_104.png	0.7994044361823389	83.95678244800274	83.72574275573791	4407.5	67.11542433652892	254.83556979968347	0.05781862048773306	4408.0	0.9235088167969305	55.0	114.0	31440341.0	1.9054260681061908	33.25	3.636417210182606	178.0	19.140497828564463	81.01882940108892	76.0	39.0	139.0	13.764972838465624	84.45450697109892	0.9187549502778298	31440341.0	0.3204886923956113	568.5130302086455	0.5923396048611674	152.10505451551327	107.0420478129973	2382.0	90.09784788910547	507.8132752230983	0.2131877729735929	2389.0	0.3406997074094576	134.0	175.0	58408119.0	1.5327243093407146	21.0	3.364815703848359	204.0	12.742792634232417	155.5257429886982	157.0	91.0	113.0	8.978988288412072	156.36103455410912	-0.4402625705014182	58408119.0	0.42072296266497006	260.5163946447028	1.3495711406460882	0.5519657628434691	0.7821762052049581	0.6491641505265483	0.7449170641582488	0.5018292790548381	0.2712098338533464	0.6485214065028689	2.710624038449921
433	HCL	/home/mikweeh/PythonProjects/08-TFM/data/img/HCL/img_105.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/HCL/img_105.png	0.8820169238033507	80.14613284403582	81.49233092751734	4438.5	70.69024554583116	256.00714267493714	0.05767875243324032	4439.0	0.9225097431661776	56.0	119.0	33835369.0	1.9566284214830483	34.0	3.5542941584354026	186.0	19.943374382210234	83.7073665239919	79.0	37.0	149.0	14.376690910820452	87.30575775278263	0.8930896468130387	33835369.0	0.3056795881555491	615.3721264056466	0.6518821320453214	133.25064907830543	108.26818553942798	2039.5	86.8637172175887	531.9554108468293	0.26082638433284105	2049.0	0.30094806556596454	139.0	178.0	53707369.0	1.5780507953032248	19.0	6.220043766277961	217.0	13.366207753856765	160.84285017081504	164.0	68.0	149.0	8.277913171210958	161.8996685735836	-1.3835540316767236	53707369.0	0.43945230577069705	341.0802331649597	1.3530312926908532	0.601468986443267	0.7526895414520485	0.6851651744365544	0.8138063602407907	0.481256769749545	0.2211384886570231	0.6841861898890259	3.0653453160807027
434	HCL	/home/mikweeh/PythonProjects/08-TFM/data/img/HCL/img_1050.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/HCL/img_1050.png	0.9811455854907422	78.46433356272311	82.0	4732.5	76.98493449353886	260.8355697996834	0.055115809783345675	4733.0	0.9349393267317722	65.0	105.0	34756941.0	1.5025262282131788	21.0	3.699253977868633	155.0	12.468453132317519	84.2267061060638	83.0	48.0	107.0	8.856101896707779	85.69441553815726	0.6783604037586033	34756941.0	0.40592481084459026	249.39483294912182	0.7229773909467501	184.01536945304068	177.79201331893398	6382.0	133.03895170126165	854.4062043356627	0.13387749989590453	6383.0	0.33145069849518227	179.0	209.0	244618041.0	1.2677157500536218	15.0	4.91756741553255	225.0	9.362818541505693	195.38821870593765	197.0	118.0	107.0	6.468119222438663	195.76354447508567	-0.9003195207034229	244618041.0	0.4570351996158133	146.8093363695263	1.3570902738824473	0.42640097833103346	0.46121306840090437	0.4257951324845922	0.5786646204670056	0.3052828601619229	0.4116883705342613	0.4257826556315221	2.8207493029174042
435	HCL	/home/mikweeh/PythonProjects/08-TFM/data/img/HCL/img_1051.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/HCL/img_1051.png	0.8708714745358449	84.44960124422566	85.0881895447306	4865.5	73.54474875952292	263.7645019878179	0.05421118117106523	4866.0	0.9374590880500099	58.0	100.0	31090200.0	1.5349399099741603	22.0	3.358610808014551	147.0	13.38115418408582	78.15330867242088	76.0	39.0	108.0	9.510539559414175	79.9329250251898	0.6126670408262664	31090200.0	0.3921770950161408	281.3328466359174	0.8191838545264368	141.86073630866588	109.01834707974616	2194.0	116.21002477529136	580.3990616607254	0.2645392259164655	2197.0	0.286085958136303	160.0	197.0	71283016.0	1.3125562025382609	20.0	4.1635912679092355	222.0	11.699414250698545	179.52480655439234	181.0	96.0	126.0	8.582120995979174	180.12666357163576	-0.6627947677139288	71283016.0	0.4788598430142978	216.45876105725335	1.0630964828271527	0.5952993297629379	0.7804942179364468	0.6892131170762802	0.6328606237003406	0.4544537016188398	0.204926815610263	0.688942375761008	3.2768441141154026
